Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.8145714,0.047822103
Recall_1.0,0.74114287,0.24974349
Recall_2.0,0.744,0.09563822
Recall_3.0,0.9714286,0.07559289
Recall_4.0,0.80171436,0.0021380943
Precision_2.0,0.85529244,0.096636176
Precision_1.0,0.92429686,0.09524056
Precision_4.0,0.79988617,0.0014125879
Precision_3.0,0.770061,0.09847351
F1_1.0,0.79076034,0.1548178
F1_3.0,0.85429996,0.069971465
F1_2.0,0.7858811,0.023039313
F1_4.0,0.8007985,0.0015967935
Global_F1,0.80793494,0.052662924

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6
Filter Time (Seconds),0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Test Time (Minutes),0.13626666666666667,0.14641666666666667,0.15536666666666665,0.14631666666666668,0.15676666666666667,0.15848333333333334,0.1639,
