Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.45785716,0.14604841
Recall_1.0,0.5994286,0.5038541
Recall_2.0,0.40000004,0.4
Recall_3.0,0.2588571,0.37660742
Recall_4.0,0.5731429,0.29297295
Precision_2.0,0.3292599,0.3100834
Precision_1.0,0.4132653,0.3214076
Precision_4.0,0.33589944,0.16982798
Precision_3.0,0.6785714,0.42608404
F1_1.0,0.47644097,0.3875818
F1_3.0,0.22381857,0.27766526
F1_2.0,0.35272452,0.33076456
F1_4.0,0.4110275,0.18826798
Global_F1,0.3660029,0.19080392

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6
Filter Time (Seconds),0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Test Time (Minutes),0.06943333333333333,0.06506666666666666,0.059166666666666666,0.056666666666666664,0.05661666666666667,0.0576,0.05606666666666667,
