Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.9985714,0.0015118656
Recall_1.0,0.99771434,0.0039036083
Recall_2.0,0.9965714,0.0027602678
Recall_3.0,1.0,0.0
Recall_4.0,1.0,0.0
Precision_2.0,0.9994263,0.0015179211
Precision_1.0,1.0,0.0
Precision_4.0,0.99715424,0.0019440096
Precision_3.0,0.99773246,0.0038726337
F1_1.0,0.9988526,0.0019596568
F1_3.0,0.99886173,0.0019440387
F1_2.0,0.997996,0.0020040076
F1_4.0,0.99857426,9.7396795E-4
Global_F1,0.9985711,0.0015124487

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6
Filter Time (Seconds),0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Test Time (Minutes),1.4628333333333334,1.4577666666666667,1.4838,1.3632,1.3544166666666666,1.3298666666666668,1.4676666666666667,
