Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6
Classification_Accuracy,0.85,0.798,0.751,0.851,0.851,0.851,0.75
Recall_1.0,0.996,0.792,0.4,0.8,1.0,0.8,0.4
Recall_2.0,0.604,0.8,0.8,0.8,0.604,0.8,0.8
Recall_3.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0
Recall_4.0,0.8,0.8,0.804,0.804,0.8,0.804,0.8
Precision_2.0,0.9934211,0.7968128,0.7968128,0.8,1.0,0.8,0.8
Precision_1.0,0.83557045,0.7983871,1.0,1.0,0.8361204,1.0,1.0
Precision_4.0,0.8,0.8,0.8007968,0.8007968,0.8,0.8007968,0.7968128
Precision_3.0,0.8333333,0.7968128,0.6281407,0.8361204,0.8333333,0.8361204,0.6265664
F1_1.0,0.9087592,0.79518074,0.5714286,0.88888896,0.9107469,0.88888896,0.5714286
F1_3.0,0.90909094,0.7984032,0.77160496,0.9107469,0.90909094,0.9107469,0.770416
F1_2.0,0.75124377,0.7984032,0.7984032,0.8000001,0.7531172,0.8000001,0.8000001
F1_4.0,0.8000001,0.8000001,0.8023952,0.8023952,0.8000001,0.8023952,0.7984032
Global_F1,0.8422735,0.79799676,0.735958,0.85050774,0.84323883,0.85050774,0.735062
