Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6
Classification_Accuracy,0.5,0.25,0.402,0.552,0.65,0.552,0.299
Recall_1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.196
Recall_2.0,0.0,0.0,1.0,0.6,0.6,0.6,0.0
Recall_3.0,0.4,1.0,0.004,0.004,0.4,0.004,0.0
Recall_4.0,0.6,0.0,0.604,0.604,0.6,0.604,1.0
Precision_2.0,0.0,0.0,0.5,0.60240966,0.6,0.60240966,0.0
Precision_1.0,0.41666666,0.0,0.0,0.71428573,0.71428573,0.71428573,0.33333334
Precision_4.0,0.5,0.0,0.30321285,0.3775,0.5,0.3775,0.29308325
Precision_3.0,1.0,0.25,0.5,1.0,1.0,1.0,0.0
F1_1.0,0.5882353,0.0,0.0,0.8333334,0.8333334,0.8333334,0.24685138
F1_3.0,0.5714286,0.4,0.007936508,0.007968129,0.5714286,0.007968129,0.0
F1_2.0,0.0,0.0,0.6666667,0.6012024,0.6,0.6012024,0.0
F1_4.0,0.54545456,0.0,0.40374333,0.46461537,0.54545456,0.46461537,0.4533092
Global_F1,0.4262796,0.1,0.26958662,0.47677982,0.6375541,0.47677982,0.17504016
