Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6
Classification_Accuracy,0.999,0.999,0.996,1.0,0.999,1.0,0.997
Recall_1.0,1.0,1.0,0.992,1.0,1.0,1.0,0.992
Recall_2.0,0.996,0.996,0.992,1.0,0.996,1.0,0.996
Recall_3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Recall_4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Precision_2.0,1.0,1.0,0.99598396,1.0,1.0,1.0,1.0
Precision_1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Precision_4.0,0.99601597,0.99601597,0.99601597,1.0,0.99601597,1.0,0.99601597
Precision_3.0,1.0,1.0,0.99206346,1.0,1.0,1.0,0.99206346
F1_1.0,1.0,1.0,0.9959839,1.0,1.0,1.0,0.9959839
F1_3.0,1.0,1.0,0.9960159,1.0,1.0,1.0,0.9960159
F1_2.0,0.997996,0.997996,0.993988,1.0,0.997996,1.0,0.997996
F1_4.0,0.99800396,0.99800396,0.99800396,1.0,0.99800396,1.0,0.99800396
Global_F1,0.99899995,0.99899995,0.9959979,1.0,0.99899995,1.0,0.997
