Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.9605714,0.026538385
Recall_1.0,0.6003656,0.4251389
Recall_2.0,0.99520177,0.007985504
Recall_3.0,0.9826678,0.04180626
Recall_4.0,0.87686616,0.115261
Precision_2.0,0.9764547,0.039778706
Precision_1.0,0.7675778,0.2638567
Precision_4.0,0.77290314,0.24306275
Precision_3.0,0.989072,0.015993178
F1_1.0,0.6424096,0.3902204
F1_3.0,0.9853396,0.021807315
F1_2.0,0.98531234,0.019662354
F1_4.0,0.8095694,0.18343653
Global_F1,0.8556577,0.14017138

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6
Filter Time (Seconds),0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Test Time (Minutes),0.13495,0.14678333333333332,0.15438333333333334,0.15036666666666668,0.159,0.17681666666666668,0.17226666666666668,
