Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.5075714,0.028236251
Recall_1.0,0.0,0.0
Recall_2.0,0.71045214,0.12996449
Recall_3.0,0.35279012,0.15941975
Recall_4.0,0.69453096,0.16503426
Precision_2.0,0.5088833,0.0068702777
Precision_1.0,0.0,0.0
Precision_4.0,0.37709674,0.11444671
Precision_3.0,0.56618977,0.043843724
F1_1.0,0.0,0.0
F1_3.0,0.4165235,0.13215192
F1_2.0,0.58926445,0.047060758
F1_4.0,0.48683253,0.13216145
Global_F1,0.37315512,0.053732555

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6
Filter Time (Seconds),0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Test Time (Minutes),0.07496666666666667,0.08228333333333333,0.07948333333333334,0.07831666666666667,0.05945,0.06316666666666666,0.06213333333333333,
