Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.82899994,0.074712776
Recall_1.0,0.3846919,0.28081647
Recall_2.0,0.9347482,0.053016495
Recall_3.0,0.8339101,0.10149965
Recall_4.0,0.47515807,0.33582556
Precision_2.0,0.84123766,0.11231161
Precision_1.0,0.585687,0.3241414
Precision_4.0,0.549426,0.29592934
Precision_3.0,0.9149619,0.060069438
F1_1.0,0.4123529,0.29845712
F1_3.0,0.8695269,0.06796804
F1_2.0,0.881077,0.06525245
F1_4.0,0.45964465,0.30741838
Global_F1,0.65565044,0.17268692

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6
Filter Time (Seconds),0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Test Time (Minutes),1.3665,1.3060166666666666,1.8164333333333333,1.9626333333333332,1.5972666666666666,1.4556166666666666,1.71595,
