Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6
Classification_Accuracy,0.949,0.999,0.944,0.999,0.938,0.95,0.945
Recall_1.0,1.0,1.0,0.11904762,1.0,0.27118644,0.71428573,0.09803922
Recall_2.0,1.0,1.0,0.9891068,1.0,0.97949886,1.0,0.997807
Recall_3.0,0.88789237,1.0,0.9977728,0.99749374,0.9977477,1.0,0.99776787
Recall_4.0,0.98214287,0.99038464,0.74,1.0,0.8448276,0.73626375,0.84444445
Precision_2.0,0.8997996,1.0,1.0,0.9975,0.9976798,0.94239634,0.997807
Precision_1.0,1.0,1.0,0.33333334,1.0,0.64,0.84415585,0.5555556
Precision_4.0,1.0,1.0,0.5873016,1.0,0.53846157,0.8375,0.44705883
Precision_3.0,0.9974811,0.9975,0.95726496,1.0,0.97792494,1.0,0.99333334
F1_1.0,1.0,1.0,0.1754386,1.0,0.3809524,0.7738095,0.16666667
F1_3.0,0.9395018,0.9987485,0.97709924,0.9987453,0.9877368,1.0,0.9955456
F1_2.0,0.9472574,1.0,0.9945236,0.9987485,0.9885058,0.970344,0.997807
F1_4.0,0.99099094,0.9951691,0.65486723,1.0,0.6577182,0.7836258,0.5846154
Global_F1,0.96943754,0.9984794,0.70048213,0.99937344,0.7537283,0.88194484,0.6861587
