Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6
Classification_Accuracy,0.796,0.914,0.73,0.941,0.811,0.779,0.832
Recall_1.0,0.020408163,0.71428573,0.30952382,0.71428573,0.18644068,0.5714286,0.1764706
Recall_2.0,0.9977728,1.0,0.8976035,0.9649123,0.8633257,0.90953547,0.9100877
Recall_3.0,0.7690583,0.9273183,0.6703786,0.96240604,0.8626126,0.77506113,0.87053573
Recall_4.0,0.071428575,0.72115386,0.08,0.9807692,0.6551724,0.41758242,0.4
Precision_2.0,0.68817204,0.9006772,0.7292035,0.96009976,0.9427861,0.7576375,0.9100877
Precision_1.0,1.0,0.8333333,0.22033899,0.8333333,0.25581396,0.6666667,0.29032257
Precision_4.0,0.8,0.8426966,0.114285715,0.87931037,0.34234235,0.5,0.36734694
Precision_3.0,1.0,0.9635417,0.88269794,0.96240604,0.8626126,0.89295775,0.8405172
F1_1.0,0.04,0.7692307,0.25742573,0.7692307,0.21568628,0.61538464,0.2195122
F1_3.0,0.86945504,0.945083,0.76202536,0.96240604,0.8626126,0.8298429,0.85526323
F1_2.0,0.8145455,0.9477435,0.80468756,0.9625,0.90130794,0.8266667,0.9100877
F1_4.0,0.13114755,0.77720207,0.09411764,0.92727274,0.44970417,0.45508984,0.38297874
Global_F1,0.46378702,0.8598149,0.47956407,0.90535235,0.60732776,0.68174607,0.5919605
