Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.2255,0.03464823
Recall_1.0,0.598,0.5685139
Recall_2.0,0.304,0.4299209
Recall_3.0,0.0,0.0
Recall_4.0,0.0,0.0
Precision_2.0,0.089097306,0.12600262
Precision_1.0,0.2916667,0.058925573
Precision_4.0,0.0,0.0
Precision_3.0,0.0,0.0
F1_1.0,0.3234257,0.10829243
F1_3.0,0.0,0.0
F1_2.0,0.13780598,0.19488709
F1_4.0,0.0,0.0
Global_F1,0.11530791,0.02164866

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.010183333333333334,0.007383333333333334,
