Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.176,0.106066
Recall_1.0,0.502,0.70427835
Recall_2.0,0.0,0.0
Recall_3.0,0.2,0.28284273
Recall_4.0,0.002,0.0028284274
Precision_2.0,0.0,0.0
Precision_1.0,0.12856176,0.17244813
Precision_4.0,0.25,0.35355338
Precision_3.0,0.058892816,0.08328702
F1_1.0,0.20281428,0.27976927
F1_3.0,0.0909918,0.12868184
F1_2.0,0.0,0.0
F1_4.0,0.003968254,0.005611959
Global_F1,0.074443586,0.039174844

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.01015,0.008016666666666667,
