Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.6495,0.07141779
Recall_1.0,0.998,0.002828433
Recall_2.0,0.4,0.0
Recall_3.0,0.202,0.28001428
Recall_4.0,0.998,0.002828433
Precision_2.0,0.7512563,0.35177672
Precision_1.0,0.7128571,0.0020203092
Precision_4.0,0.5550606,6.999327E-4
Precision_3.0,0.75,0.35355338
F1_1.0,0.8316667,0.0023570203
F1_3.0,0.28968257,0.39844906
F1_2.0,0.50843143,0.08909142
F1_4.0,0.71336603,0.0013006096
Global_F1,0.5857867,0.12279956

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.006533333333333334,0.0067,
