Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.85,0.0
Recall_1.0,0.898,0.13859291
Recall_2.0,0.702,0.13859296
Recall_3.0,1.0,0.0
Recall_4.0,0.8,0.0
Precision_2.0,0.8967105,0.13676935
Precision_1.0,0.9177852,0.116269246
Precision_4.0,0.8,0.0
Precision_3.0,0.8333333,0.0
F1_1.0,0.8988241,0.014050368
F1_3.0,0.90909094,0.0
F1_2.0,0.7756219,0.03447591
F1_4.0,0.8000001,0.0
Global_F1,0.84588426,0.0051064277

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.018,0.018533333333333332,
