Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.9235,0.10677314
Recall_1.0,0.996,0.005656866
Recall_2.0,0.998,0.002828433
Recall_3.0,0.898,0.14424978
Recall_4.0,0.802,0.2800143
Precision_2.0,0.9180602,0.115880355
Precision_1.0,0.8553009,0.20463547
Precision_4.0,0.998008,0.0028171374
Precision_3.0,0.9950249,0.0070358682
F1_1.0,0.9140234,0.12158932
F1_3.0,0.9412417,0.08309681
F1_2.0,0.95437145,0.061694432
F1_4.0,0.8755606,0.17316109
Global_F1,0.9212992,0.10988543

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.2286,0.23586666666666667,
