Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.9065,0.004949768
Recall_1.0,0.7094431,0.19518201
Recall_2.0,0.94760823,0.07409319
Recall_3.0,0.96831155,0.041629076
Recall_4.0,0.5036946,0.29782084
Precision_2.0,0.9688459,0.04046915
Precision_1.0,0.56060606,0.14999235
Precision_4.0,0.50871575,0.17303208
Precision_3.0,0.99004424,0.014079576
F1_1.0,0.6035503,0.016736262
F1_3.0,0.9786567,0.014400314
F1_2.0,0.95638585,0.018113831
F1_4.0,0.50171816,0.23813218
Global_F1,0.7600778,0.064645514

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.025416666666666667,0.020766666666666666,
