Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.9145,0.007778201
Recall_1.0,0.7094431,0.19518201
Recall_2.0,0.96810937,0.045100205
Recall_3.0,0.96831155,0.041629076
Recall_4.0,0.48957938,0.30224195
Precision_2.0,0.96782315,0.04207246
Precision_1.0,0.60215056,0.09123958
Precision_4.0,0.499772,0.18056536
Precision_3.0,0.99004424,0.014079576
F1_1.0,0.6366397,0.030059217
F1_3.0,0.9786567,0.014400314
F1_2.0,0.96698487,0.0015025352
F1_4.0,0.4900221,0.2449282
Global_F1,0.7680758,0.05049281

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.0355,0.02195,
