Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.9185,0.012020787
Recall_1.0,0.6840194,0.15922742
Recall_2.0,0.9851936,0.020939397
Recall_3.0,0.96042866,0.030481022
Recall_4.0,0.5123153,0.28562936
Precision_2.0,0.9597701,0.027634045
Precision_1.0,0.6065892,0.08496244
Precision_4.0,0.5802399,0.07188175
Precision_3.0,0.98988765,0.014301016
F1_1.0,0.6318303,0.023257643
F1_3.0,0.9746758,0.008770422
F1_2.0,0.9720113,0.003983889
F1_4.0,0.5307037,0.19714047
Global_F1,0.77730525,0.040282145

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.019933333333333334,0.0118,
