Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.44849998,0.012020808
Recall_1.0,0.21428572,0.30304578
Recall_2.0,0.47744933,0.57148325
Recall_3.0,0.4250121,0.54691005
Recall_4.0,0.6711823,0.34310353
Precision_2.0,0.52212787,0.019214116
Precision_1.0,0.12580645,0.17791718
Precision_4.0,0.25021958,0.0019704283
Precision_3.0,0.58875275,0.092056006
F1_1.0,0.15853658,0.22420458
F1_3.0,0.35448277,0.39900953
F1_2.0,0.38701612,0.3648443
F1_4.0,0.35410854,0.05237593
Global_F1,0.313536,0.051498476

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.014816666666666667,0.012333333333333333,
