Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.888,0.036769543
Recall_1.0,0.0,0.0
Recall_2.0,0.9397894,0.06582204
Recall_3.0,0.9385396,0.032770313
Recall_4.0,0.87551725,0.07851326
Precision_2.0,0.9698001,0.025670422
Precision_1.0,0.0,0.0
Precision_4.0,0.4062636,0.09534715
Precision_3.0,0.94209874,0.06875976
F1_1.0,0.0,0.0
F1_3.0,0.94014525,0.050706327
F1_2.0,0.95344764,0.021542013
F1_4.0,0.5537196,0.10491685
Global_F1,0.6118281,0.04429132

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.01105,0.0079,
