Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.85150003,0.0700036
Recall_1.0,0.5612245,0.5916608
Recall_2.0,0.78560543,0.0054705343
Recall_3.0,0.981203,0.026582945
Recall_4.0,0.9278846,0.101986565
Precision_2.0,0.9773029,0.0280808
Precision_1.0,1.0,0.0
Precision_4.0,0.75574714,0.3454257
Precision_3.0,0.807442,0.017551718
F1_1.0,0.6198454,0.52304035
F1_3.0,0.88587916,0.021398334
F1_2.0,0.87089455,0.0077921934
F1_4.0,0.8201439,0.25435495
Global_F1,0.79919076,0.20164649

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.008216666666666667,0.007533333333333334,
