Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.87549996,0.06434673
Recall_1.0,0.19491525,0.27565178
Recall_2.0,0.9501059,0.02868211
Recall_3.0,0.9637861,0.048028905
Recall_4.0,0.6730769,0.24476774
Precision_2.0,0.96141356,0.047961008
Precision_1.0,0.2254902,0.3188913
Precision_4.0,0.44670406,0.03735534
Precision_3.0,0.95495653,0.035541933
F1_1.0,0.2090909,0.29569918
F1_3.0,0.9593319,0.041729677
F1_2.0,0.9556799,0.038210712
F1_4.0,0.5317947,0.10620999
Global_F1,0.6639744,0.06735737

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.007,0.0067666666666666665,
