Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.883,0.036769543
Recall_1.0,0.1904762,0.269374
Recall_2.0,0.9836601,0.023108063
Recall_3.0,0.9046335,0.024629185
Recall_4.0,0.85,0.21213204
Precision_2.0,0.9344659,0.08950115
Precision_1.0,0.22222222,0.3142697
Precision_4.0,0.4432624,0.15546319
Precision_3.0,1.0,0.0
F1_1.0,0.20512821,0.2900951
F1_3.0,0.9498414,0.013579757
F1_2.0,0.956728,0.036165453
F1_4.0,0.5819709,0.18435396
Global_F1,0.6734171,0.038871575

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.006316666666666667,0.006366666666666666,
