Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.871,0.07778176
Recall_1.0,0.64285713,0.30304578
Recall_2.0,0.9987775,0.0017288637
Recall_3.0,0.8670515,0.08168574
Recall_4.0,0.5645604,0.2078583
Precision_2.0,0.94222826,0.07816605
Precision_1.0,0.67857146,0.25253814
Precision_4.0,0.6624836,0.23896968
Precision_3.0,0.87660134,0.023845213
F1_1.0,0.6593407,0.27973455
F1_3.0,0.8713101,0.0531135
F1_2.0,0.96887946,0.042241216
F1_4.0,0.60961014,0.22235571
Global_F1,0.7772851,0.14936122

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.019166666666666665,0.018766666666666668,
