Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.834,0.008485257
Recall_1.0,0.47699755,0.0684849
Recall_2.0,0.9886105,0.016107218
Recall_3.0,0.8564994,9.1003475E-4
Recall_4.0,0.21634616,0.30595967
Precision_2.0,0.9470632,0.020958953
Precision_1.0,0.3990196,0.13448893
Precision_4.0,0.22058824,0.31195888
Precision_3.0,0.90420425,0.022475524
F1_1.0,0.42205477,0.052271597
F1_3.0,0.87963176,0.010157938
F1_2.0,0.96721256,0.0032230117
F1_4.0,0.2184466,0.30893013
Global_F1,0.6218364,0.08695519

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.019216666666666667,0.018683333333333333,
