Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.45850003,0.014849241
Recall_1.0,0.1904762,0.269374
Recall_2.0,0.46582896,0.5879169
Recall_3.0,0.46001124,0.62507284
Recall_4.0,0.70689654,0.2925959
Precision_2.0,0.55230904,0.074888505
Precision_1.0,0.13114753,0.18547063
Precision_4.0,0.26330203,0.020471798
Precision_3.0,0.5830251,0.11828709
F1_1.0,0.15533979,0.21968365
F1_3.0,0.33897242,0.42975786
F1_2.0,0.36505857,0.38537776
F1_4.0,0.3741434,0.024042375
Global_F1,0.30837855,0.060005352

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.00745,0.0072,
