Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.666,0.04808323
Recall_1.0,0.08163266,0.08658451
Recall_2.0,0.84017116,0.07169702
Recall_3.0,0.68548614,0.037184395
Recall_4.0,0.13598901,0.06604843
Precision_2.0,0.6472259,0.024361132
Precision_1.0,0.51,0.6929647
Precision_4.0,0.6145833,0.3093592
Precision_3.0,0.75402546,0.14937441
F1_1.0,0.135101,0.16249171
F1_3.0,0.7124035,0.047785424
F1_2.0,0.7309792,0.04271006
F1_4.0,0.20564516,0.06272722
Global_F1,0.44603223,0.033680853

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.2527333333333333,0.2642333333333333,
