Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.682,0.15132084
Recall_1.0,0.071428575,0.10101526
Recall_2.0,0.9217604,0.11064753
Recall_3.0,0.61343974,0.21056521
Recall_4.0,0.14835165,0.20980093
Precision_2.0,0.66070473,0.02917603
Precision_1.0,0.5,0.70710677
Precision_4.0,0.11344538,0.16043599
Precision_3.0,0.78728753,0.2966736
F1_1.0,0.125,0.17677669
F1_3.0,0.6894729,0.24687609
F1_2.0,0.7691587,0.05842198
F1_4.0,0.12857142,0.18182744
Global_F1,0.42805076,0.013326496

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.23003333333333334,0.2342,
