Performance Measure,Mean,Standard Deviation
Recall LEFT,0.91525424,0.0
F1 UP,0.8703624,0.0016754866
Recall DOWN,0.73195875,0.0
F1 DOWN,0.78453034,0.0
F1 RIGHT,0.35215396,0.0015046299
F1 LEFT,0.68033016,0.0032141209
Precision UP,0.8639623,0.0039622188
Classification Accuracy,0.68677497,0.004640341
Precision DOWN,0.8452381,0.0
Global F1,0.6718442,8.4626675E-4
Recall RIGHT,0.24450298,0.0012597293
Precision RIGHT,0.6291709,0.0012639165
Precision LEFT,0.541384,0.00407058
Recall UP,0.87687075,6.802678E-4

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.003,0.0075,
